id,key,type,value
137231880,highway,regular,turning_circle
137231884,highway,regular,turning_circle
137231891,highway,regular,turning_circle
137231955,source,regular,bing
137231955,highway,regular,turning_circle
137232024,highway,regular,turning_circle
137232114,highway,regular,turning_circle
137232140,noexit,regular,yes
137232155,highway,regular,turning_circle
137233044,highway,regular,turning_circle
137233110,highway,regular,turning_circle
137233718,source,regular,Yahoo
137233718,highway,regular,turning_circle
137233913,highway,regular,turning_circle
137234679,highway,regular,turning_circle
137234698,source,regular,Bing
137234698,highway,regular,turning_circle
137235349,highway,regular,crossing
137235927,highway,regular,turning_circle
137235985,highway,regular,turning_circle
137235998,highway,regular,turning_circle
137236105,source,regular,bing
137236105,highway,regular,turning_circle
137236280,highway,regular,turning_circle
137236568,highway,regular,turning_circle
137236834,highway,regular,turning_circle
137236864,highway,regular,turning_circle
137237011,noexit,regular,yes
137237170,highway,regular,turning_circle
137237216,highway,regular,turning_circle
137237253,highway,regular,turning_circle
137237272,highway,regular,turning_circle
137237502,highway,regular,turning_circle
137237559,highway,regular,turning_circle
137237574,highway,regular,turning_circle
137237834,highway,regular,turning_circle
137238275,highway,regular,turning_circle
137238895,highway,regular,turning_circle
137239385,highway,regular,turning_circle
137239685,highway,regular,turning_circle
137239691,highway,regular,turning_circle
137239720,highway,regular,turning_circle
137239734,highway,regular,turning_circle
137240084,source,regular,Bing
137240084,highway,regular,turning_circle
137240096,highway,regular,turning_circle
137240141,highway,regular,turning_circle
137240250,highway,regular,turning_circle
137240267,highway,regular,turning_circle
137240338,noexit,regular,yes
137240432,source,regular,Bing
137240432,highway,regular,turning_circle
137240569,source,regular,Bing
137240569,highway,regular,turning_circle
137240614,highway,regular,turning_circle
137240632,source,regular,Bing
137240632,highway,regular,turning_circle
137240639,highway,regular,turning_circle
137240683,highway,regular,turning_circle
137240687,highway,regular,turning_circle
137240736,source,regular,Bing
137240736,highway,regular,turning_circle
137240832,highway,regular,turning_circle
137240903,source,regular,Bing
137240903,highway,regular,turning_circle
137241325,source,regular,Bing
137241325,highway,regular,turning_circle
137241338,highway,regular,turning_circle
137241358,highway,regular,turning_circle
137241397,highway,regular,turning_circle
137241711,highway,regular,turning_circle
137241899,source,regular,Bing
137241899,highway,regular,turning_circle
137242082,highway,regular,turning_circle
137242524,highway,regular,turning_circle
137242754,source,regular,Bing
137242754,highway,regular,turning_circle
137242899,highway,regular,turning_circle
137242941,highway,regular,turning_circle
137243480,source,regular,Yahoo
137243480,highway,regular,turning_circle
137243493,highway,regular,turning_circle
137243666,highway,regular,turning_circle
137243759,highway,regular,turning_circle
137243793,source,regular,Bing
137243793,highway,regular,turning_circle
137243847,highway,regular,turning_circle
137243853,highway,regular,turning_circle
137243973,source,regular,Bing
137243973,highway,regular,turning_circle
137243983,highway,regular,turning_circle
137243983,source,regular,bing
137244041,highway,regular,turning_circle
137244057,highway,regular,turning_circle
137244145,highway,regular,turning_circle
137244224,highway,regular,turning_circle
137244263,highway,regular,turning_circle
137244430,highway,regular,turning_circle
137244436,barrier,regular,gate
137244458,highway,regular,turning_circle
137244493,highway,regular,turning_circle
137244521,highway,regular,turning_circle
137244639,highway,regular,turning_circle
137244669,source,regular,Bing
137244669,highway,regular,turning_circle
137244785,highway,regular,turning_circle
137244958,highway,regular,turning_circle
137245205,highway,regular,turning_circle
137245219,highway,regular,turning_circle
137245540,barrier,regular,gate
137245591,highway,regular,turning_circle
137245615,highway,regular,turning_circle
137245635,highway,regular,turning_circle
137245689,railway,regular,level_crossing
137245689,bell,crossing,no
137245689,light,crossing,no
137245689,barrier,crossing,no
137245896,source,regular,Bing
137245896,highway,regular,turning_circle
137245909,highway,regular,turning_circle
137246530,highway,regular,turning_circle
137246581,highway,regular,turning_circle
137246598,highway,regular,turning_circle
137246687,highway,regular,turning_circle
137247229,highway,regular,turning_circle
137247336,source,regular,Bing
137247336,highway,regular,turning_circle
137247359,highway,regular,turning_circle
